"id","code","name","state_id/id"
"wtc_address.kab_id_1101","1101","KAB. SIMEULUE","wtc_address.province_id_1100"
"wtc_address.kab_id_1102","1102","KAB. ACEH SINGKIL","wtc_address.province_id_1100"
"wtc_address.kab_id_1103","1103","KAB. ACEH SELATAN","wtc_address.province_id_1100"
"wtc_address.kab_id_1104","1104","KAB. ACEH TENGGARA","wtc_address.province_id_1100"
"wtc_address.kab_id_1105","1105","KAB. ACEH TIMUR","wtc_address.province_id_1100"
"wtc_address.kab_id_1106","1106","KAB. ACEH TENGAH","wtc_address.province_id_1100"
"wtc_address.kab_id_1107","1107","KAB. ACEH BARAT","wtc_address.province_id_1100"
"wtc_address.kab_id_1108","1108","KAB. ACEH BESAR","wtc_address.province_id_1100"
"wtc_address.kab_id_1109","1109","KAB. PIDIE","wtc_address.province_id_1100"
"wtc_address.kab_id_1110","1110","KAB. BIREUEN","wtc_address.province_id_1100"
"wtc_address.kab_id_1111","1111","KAB. ACEH UTARA","wtc_address.province_id_1100"
"wtc_address.kab_id_1112","1112","KAB. ACEH BARAT DAYA","wtc_address.province_id_1100"
"wtc_address.kab_id_1113","1113","KAB. GAYO LUES","wtc_address.province_id_1100"
"wtc_address.kab_id_1114","1114","KAB. ACEH TAMIANG","wtc_address.province_id_1100"
"wtc_address.kab_id_1115","1115","KAB. NAGAN RAYA","wtc_address.province_id_1100"
"wtc_address.kab_id_1116","1116","KAB. ACEH JAYA","wtc_address.province_id_1100"
"wtc_address.kab_id_1117","1117","KAB. BENER MERIAH","wtc_address.province_id_1100"
"wtc_address.kab_id_1118","1118","KAB. PIDIE JAYA","wtc_address.province_id_1100"
"wtc_address.kab_id_1171","1171","KOTA BANDA ACEH","wtc_address.province_id_1100"
"wtc_address.kab_id_1172","1172","KOTA SABANG","wtc_address.province_id_1100"
"wtc_address.kab_id_1173","1173","KOTA LANGSA","wtc_address.province_id_1100"
"wtc_address.kab_id_1174","1174","KOTA LHOKSEUMAWE","wtc_address.province_id_1100"
"wtc_address.kab_id_1175","1175","KOTA SUBULUSSALAM","wtc_address.province_id_1100"
"wtc_address.kab_id_1201","1201","KAB. NIAS","wtc_address.province_id_1200"
"wtc_address.kab_id_1202","1202","KAB. MANDAILING NATAL","wtc_address.province_id_1200"
"wtc_address.kab_id_1203","1203","KAB. TAPANULI SELATAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1204","1204","KAB. TAPANULI TENGAH","wtc_address.province_id_1200"
"wtc_address.kab_id_1205","1205","KAB. TAPANULI UTARA","wtc_address.province_id_1200"
"wtc_address.kab_id_1206","1206","KAB. TOBA SAMOSIR","wtc_address.province_id_1200"
"wtc_address.kab_id_1207","1207","KAB. LABUHANBATU","wtc_address.province_id_1200"
"wtc_address.kab_id_1208","1208","KAB. ASAHAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1209","1209","KAB. SIMALUNGUN","wtc_address.province_id_1200"
"wtc_address.kab_id_1210","1210","KAB. DAIRI","wtc_address.province_id_1200"
"wtc_address.kab_id_1211","1211","KAB. KARO","wtc_address.province_id_1200"
"wtc_address.kab_id_1212","1212","KAB. DELI SERDANG","wtc_address.province_id_1200"
"wtc_address.kab_id_1213","1213","KAB. LANGKAT","wtc_address.province_id_1200"
"wtc_address.kab_id_1214","1214","KAB. NIAS SELATAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1215","1215","KAB. HUMBANG HASUNDUTAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1216","1216","KAB. PAKPAK BHARAT","wtc_address.province_id_1200"
"wtc_address.kab_id_1217","1217","KAB. SAMOSIR","wtc_address.province_id_1200"
"wtc_address.kab_id_1218","1218","KAB. SERDANG BEDAGAI","wtc_address.province_id_1200"
"wtc_address.kab_id_1219","1219","KAB. BATU BARA","wtc_address.province_id_1200"
"wtc_address.kab_id_1220","1220","KAB. LABUHANBATU SELATAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1221","1221","KAB. LABUHANBATU UTARA","wtc_address.province_id_1200"
"wtc_address.kab_id_1222","1222","KAB. NIAS UTARA","wtc_address.province_id_1200"
"wtc_address.kab_id_1224","1224","KAB. NIAS BARAT","wtc_address.province_id_1200"
"wtc_address.kab_id_1271","1271","KOTA SIBOLGA","wtc_address.province_id_1200"
"wtc_address.kab_id_1272","1272","KOTA TANJUNG BALAI","wtc_address.province_id_1200"
"wtc_address.kab_id_1273","1273","KOTA PEMATANG SIANTAR","wtc_address.province_id_1200"
"wtc_address.kab_id_1274","1274","KOTA TEBING TINGGI","wtc_address.province_id_1200"
"wtc_address.kab_id_1275","1275","KOTA MEDAN","wtc_address.province_id_1200"
"wtc_address.kab_id_1276","1276","KOTA BINJAI","wtc_address.province_id_1200"
